,shot_id,filename,transcript,results_st,results_lt
0,100900_202,100900,"Oskar: Who’s that? Abby: My husband.  Abby: [NVU] Uhh… Abby: You must think this is very odd. Oskar: Oh, I think a lot of things are odd. People tell me I’m very odd all the time.  I got tested once to see if I had Asperger’s disease. Dad said it’s for people who are smarter than everybody else but can’t run straight. Tests weren’t definitive. Oskar: Are you sure you didn’t know him? Thomas Schell? ",0.8300922757021321,0.779847881612303
1,100900_797,100900,"Oskar: He was in the building. In nine-eleven. Oskar: I’m trying to find a lock for this key that was in the envelope that once belonged to my father. Abby: I’m sorry, I don’t know anything about the key or your father.",0.8301332747695133,0.7798810385521311
2,100900_1132,100900,,0.8303486853337289,0.7801651746326685
3,100900_1297,100900,Oskar: Can I borrow that? Abby: You’re welcome to it. Oskar: I thought you really liked it. Abby: Lots of things will be different around here.,0.8301109906936716,0.7798669318302658
4,100900_1567,100900,"Oskar: Can I kiss you? Abby: Eh, you’re a sweet boy, but I don’t think that would be a good idea.",0.8301881294169188,0.7800243198282569
5,100900_1742,100900,,0.8303486853337289,0.7801651746326685
6,100900_1967,100900,"Oskar: Can I take your picture, so I can remember you?",0.8300861795112043,0.7797908934383903
7,201500_356,201500,"Man: Johnny English. Pamela: Have a seat. Pamela: You’ve been away for some time, English. Pamela: But you haven’t been forgotten. Johnny: [NVU] Mmh. Come on. Pamela: People here often talk about your adventures in Mozambique. Pamela: Well, MI-7 has come a long way since then. The guns, the fast cars and the chauvinism are all on their way out. ",0.8300128497580364,0.7798492670622952
8,201500_824,201500,"Pamela: Frankly, I didn’t want to see you back. ",0.8300819522618387,0.7797152732025329
9,201500_949,201500,Pamela: You are everything I came into this service to change. Pamela: But my hands are tied. And there are times when one has to ...,0.8299736670282365,0.7796976619436341
10,201500_1113,201500,,0.8303486853337289,0.7801651746326685
11,201500_1200,201500,,0.8303486853337289,0.7801651746326685
12,103312_37,103312,"Ava: What the hell is this? Howard: It’s a present. Go on, open it.",0.8301274055810851,0.7798281188284243
13,103312_116,103312,"Ava: Oh, a box of trash, you shouldn’t have.",0.8304673992850176,0.7802761173855667
14,103312_197,103312,"Howard: Keep looking, keep looking.",0.8299727984447496,0.7796549924557873
15,103312_253,103312,,0.8303486853337289,0.7801651746326685
16,103312_479,103312,"Howard: It’s a Kashmiri sapphire. Best in the world. I had my boys all over the damn globe looking for this. Ava: Why? Howard: Because, look, it matches your eyes. Ava: I am not for sale.",0.8300502534189129,0.7798149619715375
17,103312_869,103312,"Howard: For Christ’s sakes Ava, it’s just a present! Ava: You can’t buy me Howard, so stop trying. Don’t buy me anymore diamonds, or sapphires, or any other goddamn thing. You can buy me dinner, how about that? [SFX KISSING] Howard: Jesus, Ava.",0.8302185659955125,0.7800287404196428
18,203409_3,203409,,0.8303486853337289,0.7801651746326685
19,203409_241,203409,Andy: Hey. [SFX DOOR CLOSES] ,0.8302500025735962,0.7799678756522775
20,203409_430,203409,,0.8303486853337289,0.7801651746326685
21,203409_510,203409,Andy: Happy birthday.,0.8298696534734682,0.7797128699141722
22,203409_711,203409,"Andy: Nate, I’m so sorry. I kept trying to leave but there was… a lot going on and… you know I didn’t have a choice.",0.8300023071420173,0.7796739291760256
23,203409_957,203409,Nate: Don’t worry about it. I’m going to bed.  [SFX FOOTSTEPS],0.8304077624898311,0.7801225570612703
24,203409_1072,203409,Andy: Can we at least talk about this?,0.8299463891704981,0.7796180002075146
25,203409_1210,203409,Nate: You look really pretty.,0.830048326643218,0.7797425798533175
26,203409_1600,203409,[SFX DOOR SHUTS],0.8305451434219434,0.7802456987060518
27,203614_75,203614,Helen: Hey.,0.8302652178262391,0.7801509808615136
28,203614_223,203614,Ben: Hi.,0.8301633556245555,0.7798345486638177
29,203614_435,203614,"Ben: Started painting again? Helen: Yeah, great light up there. Ben: [NVU] Haha. You know, um…  I want to apologise for the phone calls, Helen. I should have given you your space.",0.8301179298834764,0.779868715635263
30,203614_756,203614,,0.8303486853337289,0.7801651746326685
31,203614_969,203614,Helen: And you felt showing up here unannounced was the best way to communicate that? Ben: [NVU] Ehh… well…,0.8300117278446397,0.7796758178784037
32,203614_1273,203614,Helen: Hey.,0.8302652178262391,0.7801509808615136
33,203701_87,203701,"Celia: Five other maids have already turned me down. Celia: Let me at least get you some bus money. Minny: Now, uh... When did you hear me say I don’t want to clean this house?",0.8301063169339463,0.7799229882368928
34,203701_189,203701,,0.8303486853337289,0.7801651746326685
35,203701_315,203701,Celia: Wait. So... you’ll do it?,0.8302680644017483,0.7800467527132988
36,203701_388,203701,,0.8303486853337289,0.7801651746326685
