,perplexity
0,0.19975175384243682
1,0.8497004331463118
2,0.14944794247549537
3,0.5131633202946725
4,0.21920141410735716
5,0.26615458090778177
6,0.5646884339468705
7,0.3779561115398846
8,0.18039808678788036
9,0.3450837346376877
10,0.12658368977339762
11,0.2303841438200033
12,0.19695174641951194
13,0.38458653978730406
14,0.17218258160958846
15,0.2602772653576593
16,0.2525920682917821
17,0.2933101182802248
18,0.27957197052990485
19,0.3950012584892759
20,0.3509726364353661
21,0.3384330389994893
22,0.46525988141852787
23,1.0
24,0.5086638250259972
25,0.3702909728848491
26,0.5217242564229838
27,0.2187126454568897
28,0.3933122966035859
29,0.3358295746656889
30,0.46461236863156485
31,0.20506863927962074
32,0.2737342582458455
33,0.29007583763348
34,0.12391375376545434
35,0.5940666514662766
36,0.34352139835509776
37,0.826791240061506
38,0.24367365368421107
39,0.36559147075409487
40,0.17796846258577184
41,0.8206022626846577
42,0.5475014179179979
43,0.4767219650391637
44,0.5166642799554819
45,0.5442187707188542
46,0.1432549561862189
47,0.29188846390661616
48,0.6568472132751251
49,0.32528687331169254
50,0.19139409119801903
51,0.15780724927015985
52,0.34509458384515834
53,0.424779618134284
54,0.4172740708677102
55,0.5454286610207286
56,0.17415025863568545
57,0.19079870350597242
58,0.3071295678770171
59,0.3657365751879446
60,0.40528135244673663
61,0.41942681352408434
62,0.45816869078729494
63,0.465021070691205
64,0.4433486869477061
65,0.16144910805906434
66,0.20778998471589716
67,0.19468781016419875
68,0.22275932305431592
69,0.5166291838320606
70,0.6584341875365534
71,0.40815594060566135
72,0.24640852845434758
73,0.2766111246268485
74,0.5627131273261646
75,0.4148904007666037
76,0.3300823231930025
77,0.4457826991190794
78,0.1641675861308155
79,0.2565794817886453
80,0.2632341029203042
81,0.16374847347725344
82,0.43215230494950907
83,0.3655023486432133
84,0.5564030547136739
85,0.20629096390814627
86,0.17170600684377388
87,0.1836511558845892
88,0.19549386465054916
89,0.27629173933847423
90,0.4717096754991089
91,0.3425472294791189
92,0.1769284647983266
93,0.3547809800124871
94,0.28153585789110025
95,0.35372238110895043
96,0.2666933246355115
97,0.29951478038509893
98,0.4012854092457114
99,0.29873473511295834
100,0.25889602978796417
101,0.3242747521988991
